iter	Passed	Remaining
953	10032	200291
954	10042	200265
955	10052	200242
956	10062	200228
957	10072	200216
958	10085	200256
959	10096	200238
960	10106	200226
961	10116	200205
962	10125	200166
963	10135	200134
964	10145	200132
965	10156	200123
966	10166	200109
967	10177	200105
968	10187	200073
969	10197	200052
970	10206	200017
971	10216	199995
972	10225	199967
973	10235	199937
974	10247	199948
975	10256	199917
976	10267	199912
977	10276	199876
978	10286	199851
979	10296	199837
980	10307	199834
981	10317	199814
982	10327	199801
983	10338	199790
984	10348	199767
985	10358	199754
986	10368	199736
987	10379	199725
988	10388	199701
989	10398	199674
990	10409	199678
991	10419	199658
992	10429	199634
993	10440	199637
994	10451	199628
995	10462	199624
996	10472	199611
997	10483	199603
998	10494	199605
999	10504	199589
1000	10517	199623
1001	10528	199616
1002	10538	199606
1003	10548	199589
1004	10558	199566
1005	10569	199554
1006	10579	199539
1007	10590	199537
1008	10600	199524
1009	10611	199511
1010	10621	199504
1011	10632	199501
1012	10643	199485
1013	10652	199464
1014	10663	199457
1015	10673	199439
1016	10684	199432
1017	10694	199420
1018	10704	199393
1019	10714	199374
1020	10724	199358
1021	10734	199342
1022	10745	199328
1023	10755	199310
1024	10765	199301
1025	10776	199290
1026	10786	199275
1027	10797	199266
1028	10807	199243
1029	10816	199216
1030	10825	199177
1031	10835	199150
1032	10844	199125
1033	10854	199104
1034	10865	199089
1035	10874	199061
1036	10884	199039
1037	10894	199027
1038	10905	199023
1039	10915	199000
1040	10925	198973
1041	10936	198979
1042	10948	198985
1043	10958	198968
1044	10968	198950
1045	10978	198934
1046	10988	198924
1047	10999	198910
1048	11010	198906
1049	11019	198882
1050	11028	198846
1051	11039	198829
1052	11048	198805
1053	11058	198781
1054	11069	198775
1055	11079	198760
1056	11090	198750
1057	11101	198748
1058	11110	198728
1059	11122	198737
1060	11132	198722
1061	11142	198701
1062	11152	198684
1063	11162	198655
1064	11172	198635
1065	11182	198618
1066	11192	198609
1067	11203	198600
1068	11214	198592
1069	11224	198578
1070	11236	198589
1071	11246	198572
1072	11256	198559
1073	11266	198540
1074	11276	198523
1075	11288	198527
1076	11299	198525
1077	11309	198510
1078	11319	198494
1079	11329	198474
1080	11339	198462
1081	11350	198452
1082	11360	198427
1083	11369	198405
1084	11379	198386
1085	11389	198362
1086	11401	198371
1087	11411	198351
1088	11423	198366
1089	11433	198356
1090	11444	198346
1091	11454	198339
1092	11464	198324
1093	11474	198302
1094	11485	198287
1095	11495	198272
1096	11505	198251
1097	11514	198229
1098	11525	198219
1099	11535	198204
1100	11545	198190
1101	11556	198177
1102	11567	198181
1103	11578	198172
1104	11588	198157
1105	11598	198143
1106	11610	198150
1107	11620	198141
1108	11630	198123
1109	11640	198094
1110	11650	198076
1111	11660	198052
1112	11669	198029
1113	11679	198007
1114	11689	197986
1115	11699	197965
1116	11709	197947
1117	11718	197919
1118	11728	197903
1119	11738	197877
1120	11748	197862
1121	11758	197835
1122	11769	197834
1123	11781	197849
1124	11792	197853
1125	11803	197843
1126	11812	197821
1127	11823	197813
1128	11833	197798
1129	11843	197783
1130	11853	197756
1131	11863	197744
1132	11873	197723
1133	11884	197714
1134	11896	197729
1135	11907	197727
1136	11918	197725
1137	11928	197716
1138	11938	197700
1139	11949	197698
1140	11962	197727
1141	11973	197719
1142	11983	197706
1143	11993	197683
1144	12003	197665
1145	12014	197663
1146	12025	197653
1147	12035	197640
1148	12045	197627
1149	12056	197620
1150	12068	197630
1151	12078	197623
1152	12088	197598
1153	12100	197606
1154	12111	197609
1155	12121	197594
1156	12131	197572
1157	12141	197548
1158	12150	197520
1159	12160	197503
1160	12170	197481
1161	12180	197466
1162	12191	197462
1163	12201	197438
1164	12211	197423
1165	12224	197460
1166	12234	197447
1167	12244	197427
1168	12254	197409
1169	12268	197454
1170	12280	197464
1171	12291	197467
1172	12302	197462
1173	12313	197450
1174	12324	197452
1175	12335	197447
1176	12345	197432
1177	12357	197440
1178	12368	197441
1179	12378	197433
1180	12391	197448
1181	12401	197442
1182	12411	197421
1183	12422	197410
1184	12434	197437
1185	12445	197431
1186	12456	197419
1187	12466	197404
1188	12476	197385
1189	12485	197362
1190	12495	197341
1191	12506	197329
1192	12518	197347
1193	12530	197353
1194	12540	197343
1195	12553	197367
1196	12564	197364
1197	12575	197369
1198	12588	197391
1199	12599	197399
1200	12611	197408
1201	12622	197407
1202	12634	197415
1203	12645	197413
1204	12655	197399
1205	12671	197470
1206	12688	197561
1207	12698	197543
1208	12708	197527
1209	12721	197553
1210	12735	197592
1211	12748	197628
1212	12767	197737
1213	12782	197796
1214	12797	197868
1215	12810	197896
1216	12829	198009
1217	12842	198038
1218	12854	198045
1219	12866	198058
1220	12878	198072
1221	12893	198130
1222	12905	198135
1223	12919	198190
1224	12933	198222
1225	12944	198228
1226	12956	198240
1227	12967	198226
1228	12978	198224
1229	12989	198217
1230	12999	198201
1231	13010	198204
1232	13020	198181
1233	13029	198151
1234	13040	198144
1235	13055	198194
1236	13066	198197
1237	13076	198170
1238	13087	198175
1239	13098	198166
1240	13110	198183
1241	13120	198166
1242	13130	198135
1243	13141	198134
1244	13152	198126
1245	13164	198147
1246	13175	198134
1247	13186	198128
1248	13196	198111
1249	13207	198110
1250	13219	198117
1251	13232	198148
1252	13242	198128
1253	13252	198117
1254	13264	198116
1255	13274	198107
1256	13285	198099
1257	13296	198097
1258	13307	198087
1259	13317	198076
1260	13328	198060
1261	13337	198037
1262	13347	198018
1263	13358	198011
1264	13368	197987
1265	13379	197981
1266	13389	197967
1267	13399	197954
1268	13409	197935
1269	13420	197933
1270	13430	197910
1271	13441	197895
1272	13451	197887
1273	13461	197864
1274	13470	197834
1275	13480	197818
1276	13490	197796
1277	13500	197770
1278	13510	197749
1279	13520	197735
1280	13530	197714
1281	13541	197709
1282	13551	197699
1283	13561	197679
1284	13572	197669
1285	13583	197661
1286	13593	197651
1287	13604	197646
1288	13614	197630
1289	13624	197612
1290	13634	197590
1291	13644	197569
1292	13654	197546
1293	13663	197524
1294	13673	197495
1295	13683	197485
1296	13693	197461
1297	13704	197453
1298	13715	197454
1299	13726	197449
1300	13736	197432
1301	13747	197424
1302	13758	197424
1303	13770	197429
1304	13780	197416
1305	13791	197405
1306	13801	197386
1307	13811	197378
1308	13821	197356
1309	13831	197342
1310	13842	197327
1311	13852	197312
1312	13863	197305
1313	13876	197335
1314	13888	197344
1315	13899	197334
1316	13909	197327
1317	13921	197334
1318	13933	197336
1319	13943	197319
1320	13954	197311
1321	13964	197296
1322	13974	197280
1323	13984	197261
1324	13994	197249
1325	14005	197239
1326	14015	197214
1327	14025	197202
1328	14037	197216
1329	14048	197204
1330	14059	197202
1331	14070	197194
1332	14081	197190
1333	14091	197181
1334	14101	197160
1335	14112	197146
1336	14121	197126
1337	14131	197098
1338	14141	197083
1339	14151	197070
1340	14161	197050
1341	14171	197032
1342	14181	197010
1343	14191	196987
1344	14202	196985
1345	14212	196975
1346	14223	196959
1347	14232	196937
1348	14243	196931
1349	14253	196913
1350	14263	196885
1351	14273	196866
1352	14283	196855
1353	14294	196849
1354	14304	196830
1355	14314	196819
1356	14325	196803
1357	14335	196787
1358	14345	196773
1359	14355	196756
1360	14368	196773
1361	14378	196764
1362	14390	196762
1363	14400	196751
1364	14411	196752
1365	14422	196739
1366	14432	196724
1367	14443	196717
1368	14453	196702
1369	14464	196690
1370	14474	196676
1371	14484	196658
1372	14495	196648
1373	14504	196626
1374	14515	196613
1375	14525	196594
1376	14535	196584
1377	14545	196569
1378	14555	196552
1379	14566	196546
1380	14577	196542
1381	14587	196523
1382	14598	196511
1383	14608	196494
1384	14619	196491
1385	14629	196478
1386	14641	196480
1387	14652	196473
1388	14662	196458
1389	14672	196449
1390	14682	196429
1391	14692	196408
1392	14703	196404
1393	14714	196400
1394	14725	196390
1395	14735	196372
1396	14745	196357
1397	14757	196367
1398	14768	196356
1399	14778	196345
1400	14789	196333
1401	14799	196322
1402	14809	196308
1403	14820	196297
1404	14830	196279
1405	14841	196271
1406	14852	196276
1407	14862	196258
1408	14873	196254
1409	14885	196259
1410	14895	196238
1411	14907	196241
1412	14918	196241
1413	14929	196238
1414	14940	196231
1415	14951	196223
1416	14961	196210
1417	14971	196192
1418	14980	196165
1419	14991	196152
1420	15001	196132
1421	15011	196116
1422	15022	196110
1423	15033	196112
1424	15043	196089
1425	15053	196079
1426	15063	196060
1427	15074	196050
1428	15084	196035
1429	15094	196021
1430	15105	196006
1431	15114	195984
1432	15124	195967
1433	15134	195947
1434	15144	195928
1435	15154	195912
1436	15164	195898
1437	15175	195890
1438	15185	195876
1439	15197	195873
1440	15207	195862
1441	15219	195864
1442	15230	195859
1443	15238	195825
1444	15250	195823
1445	15261	195826
1446	15272	195813
1447	15281	195791
1448	15291	195776
1449	15302	195771
1450	15312	195749
1451	15322	195730
1452	15332	195716
1453	15343	195708
1454	15353	195691
1455	15364	195688
1456	15375	195676
1457	15384	195654
1458	15394	195632
1459	15404	195615
1460	15416	195617
1461	15427	195614
1462	15437	195603
1463	15448	195591
1464	15458	195582
1465	15469	195570
1466	15479	195550
1467	15489	195535
1468	15499	195526
1469	15510	195514
1470	15520	195498
1471	15531	195492
1472	15541	195479
1473	15552	195468
1474	15563	195462
1475	15573	195450
1476	15584	195443
1477	15594	195428
1478	15604	195412
1479	15614	195398
1480	15625	195384
1481	15635	195374
1482	15645	195356
1483	15656	195344
1484	15665	195323
1485	15676	195306
1486	15685	195287
1487	15696	195274
1488	15706	195262
1489	15716	195244
1490	15728	195248
1491	15739	195248
1492	15750	195238
1493	15760	195220
1494	15770	195201
1495	15780	195183
1496	15790	195170
1497	15800	195155
1498	15810	195137
1499	15821	195128
1500	15831	195108
1501	15841	195091
1502	15850	195072
1503	15861	195062
1504	15872	195052
1505	15882	195041
1506	15893	195039
1507	15904	195034
1508	15915	195020
1509	15925	195006
1510	15935	194996
1511	15946	194982
1512	15955	194962
1513	15966	194948
1514	15976	194933
1515	15986	194916
1516	15996	194898
1517	16006	194882
1518	16016	194866
1519	16027	194857
1520	16036	194833
1521	16046	194816
1522	16057	194813
1523	16068	194803
1524	16078	194789
1525	16088	194769
